"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1,1,1.2,1.4,1.3,1,1.8,2,2.2,3.1,3.2,3.3,5.6,5.6,5.5,6.4,5.6,6.5,6.2,5.1,4.5,4.5,4.7,5.2,5.1,5,5.1,4.8,4.7,4.4,5
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0.4,0.5,0.5,0.9,1,1,1.6,1.6,1.6,1.9,1.4,1.7,1.6,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1606,"1111606","Ponte da Barca",1,1,1.2,1.4,1.3,1,1,1.3,1.4,1.8,1.8,1.9,3.2,3.2,3.1,3.6,3.3,3.8,3.6,3.1,2.7,2.7,2.8,3.1,3.1,3,3,2.9,2.8,2.6,3
1607,"1111607","Ponte de Lima",7.1,8.1,10,11.2,11.1,8,4.7,5.6,6.1,6.2,6.4,6.7,11.2,11.2,11.1,12.8,22.6,26.2,24.9,34.6,30.3,30.3,31.6,35.2,34.9,33.8,34.4,32.4,32.3,29.7,33.8
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",1,1,1.2,1.4,1.3,1,0.8,1,1.1,1.3,1.4,1.4,2.4,2.4,2.4,2.7,2.8,3.3,3.1,3.1,2.7,2.7,2.8,3.1,3.1,3,3,2.9,2.8,2.6,3
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",4.5,5,6.2,7,7,5,1.9,2.3,2.5,1.8,1.8,1.9,3.2,3.2,3.1,3.6,2.8,3.3,3.1,2.1,1.8,1.8,1.9,2,2,1.9,2.1,1.9,1.9,1.8,2
302,"1120302","Barcelos",3.6,4.1,5,5.6,5.5,4.1,2.4,2.7,3,3.1,3.2,3.3,5.6,5.6,5.5,6.4,5.1,5.9,5.6,4.1,3.6,3.6,3.7,4.2,4.2,4,4,3.8,3.9,3.6,3.9
303,"1120303","Braga",3.6,4.1,5,5.6,5.5,4.1,2.2,2.5,2.7,2.7,2.7,2.9,4.7,4.7,4.7,5.5,3.8,4.4,4.2,2.1,1.8,1.8,1.9,2,2,1.9,2.1,1.9,1.9,1.8,2
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0.4,0.5,0.5,0.9,1,1,1.6,1.6,1.6,1.9,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",1,1,1.2,1.4,1.3,1,2.2,2.5,2.7,4,4.2,4.3,7.2,7.2,7.1,8.2,7.5,8.7,8.2,7,6.2,6.2,6.5,7.2,7.1,6.9,7,6.6,6.7,6.2,6.9
307,"1130307","Fafe",1,1,1.2,1.4,1.3,1,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",1.8,2,2.5,2.8,2.8,2,1.9,2.3,2.5,3.1,3.2,3.3,5.6,5.6,5.5,6.4,4.2,4.9,4.7,2.1,1.8,1.8,1.9,2,2,1.9,2.1,1.9,1.9,1.8,2
309,"1130309","Póvoa de Lanhoso",2.7,3,3.7,4.2,4.2,3,1,1.3,1.4,0.9,1,1,1.6,1.6,1.6,1.9,1.4,1.7,1.6,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1314,"1131314","Santo Tirso",1,1,1.2,1.4,1.3,1,1.8,2,2.2,3.1,3.2,3.3,5.6,5.6,5.5,6.4,4.7,5.4,5.2,3.1,2.7,2.7,2.8,3.1,3.1,3,3,2.9,2.8,2.6,3
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",2.7,3,3.7,4.2,4.2,3,0.8,1,1.1,0.4,0.4,0.4,0.7,0.7,0.7,0.9,0.9,1,1,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
312,"1130312","Vila Nova de Famalicão",1,1,1.2,1.4,1.3,1,1.9,2.3,2.5,3.6,3.6,3.8,6.4,6.4,6.3,7.3,4.2,4.9,4.7,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
314,"1130314","Vizela",0,0,0,0,0,0,0.8,1,1.1,1.8,1.8,1.9,3.2,3.2,3.1,3.6,2.4,2.7,2.6,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",1,1,1.2,1.4,1.3,1,0.6,0.7,0.9,0.9,1,1,1.6,1.6,1.6,1.9,2.4,2.7,2.6,3.1,2.7,2.7,2.8,3.1,3.1,3,3,2.9,2.8,2.6,3
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",1,1,1.2,1.4,1.3,1,0.4,0.5,0.5,0.4,0.4,0.4,0.7,0.7,0.7,0.9,1.4,1.7,1.6,2.1,1.8,1.8,1.9,2,2,1.9,2.1,1.9,1.9,1.8,2
1301,"1151301","Amarante",1.8,2,2.5,2.8,2.8,2,1.6,1.8,2,2.2,2.2,2.4,4,4,4,4.5,8,9.3,8.8,12.2,10.8,10.7,11.1,12.4,12.3,11.9,12.1,11.4,11.4,10.5,11.9
1302,"1151302","Baião",5.3,6.1,7.5,8.4,8.3,6.1,3.7,4.3,4.7,4.9,5,5.3,8.8,8.8,8.7,10,11.7,13.7,12.9,14.2,12.5,12.5,13.1,14.5,14.4,13.9,14.2,13.4,13.3,12.2,13.8
304,"1150304","Cabeceiras de Basto",2.7,3,3.7,4.2,4.2,3,2.2,2.5,2.7,3.1,3.2,3.3,5.6,5.6,5.5,6.4,3.8,4.4,4.2,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
106,"1150106","Castelo de Paiva",0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,1.9,2.2,2.1,3.1,2.7,2.7,2.8,3.1,3.1,3,3,2.9,2.8,2.6,3
305,"1150305","Celorico de Basto",0,0,0,0,0,0,0.8,1,1.1,1.8,1.8,1.9,3.2,3.2,3.1,3.6,3.8,4.4,4.2,4.1,3.6,3.6,3.7,4.2,4.2,4,4,3.8,3.9,3.6,3.9
1804,"1151804","Cinfães",15.2,17.2,21.2,23.8,23.5,17.1,4.5,5.3,5.9,1.8,1.8,1.9,3.2,3.2,3.1,3.6,7,8.2,7.8,11.2,9.8,9.8,10.2,11.4,11.3,10.9,11.1,10.5,10.4,9.6,11
1303,"1151303","Felgueiras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1305,"1151305","Lousada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,2.4,2.7,2.6,4.1,3.6,3.6,3.7,4.2,4.2,4,4,3.8,3.9,3.6,3.9
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0.4,0.5,0.5,0.9,1,1,1.6,1.6,1.6,1.9,1.4,1.7,1.6,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,0.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,0.9,1,1,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1311,"1151311","Penafiel",1.8,2,2.5,2.8,2.8,2,1,1.3,1.4,1.3,1.4,1.4,2.4,2.4,2.4,2.7,3.3,3.8,3.6,4.1,3.6,3.6,3.7,4.2,4.2,4,4,3.8,3.9,3.6,3.9
1813,"1151813","Resende",9.9,11.1,13.7,15.4,15.3,11.1,14.8,17.4,19.2,26,26.4,27.7,46.1,46.1,45.8,53,55.4,64.4,61.2,61,53.5,53.4,55.7,62.2,61.7,59.6,60.6,57.1,57,52.5,59.5
1709,"1151709","Ribeira de Pena",7.1,8.1,10,11.2,11.1,8,3,3.6,3.9,2.7,2.7,2.9,4.7,4.7,4.7,5.5,5.6,6.5,6.2,6.1,5.3,5.3,5.6,6.2,6.2,5.9,6.1,5.7,5.6,5.3,5.9
104,"1160104","Arouca",1,1,1.2,1.4,1.3,1,1.8,2,2.2,3.1,3.2,3.3,5.6,5.6,5.5,6.4,5.6,6.5,6.2,5.1,4.5,4.5,4.7,5.2,5.1,5,5.1,4.8,4.7,4.4,5
113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,0.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,0.9,1,1,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.8,1
1701,"1171701","Alijó",1.5,1.7,2.1,2.3,2.4,1.7,10.8,5.7,4.7,20.4,23.8,24.6,34.7,31.5,31.2,36.3,30,28,21.8,21,19,17.4,18.5,17,16.5,16.1,19,18.2,19.1,16.6,17.5
1801,"1171801","Armamar",4.3,4.9,5.9,6.7,6.7,4.8,4.5,2,1.6,4.4,4.8,4.7,8.5,7.6,7.6,8.5,6.5,6,4.7,4.1,3.6,3.3,3.3,3,3,2.9,3.5,3.3,3.6,3.4,3.3
403,"1170403","Carrazeda de Ansiães",0.7,0.8,1,1.2,1.1,0.7,1,0.4,0.4,1.2,1.3,1.3,2.3,2.1,2.1,2.3,3,2.8,2.2,3.4,3,2.7,2.7,2.5,2.4,2.4,3,2.8,3,2.9,2.7
404,"1170404","Freixo de Espada à Cinta",0.7,0.8,1,1.2,1.1,0.7,0.8,0.4,0.3,0.7,0.8,0.9,1.5,1.3,1.3,1.6,1.6,1.5,1,1.3,1.2,1.1,1.1,1,1,1,1.1,1.1,1.2,1.2,1.1
1805,"1171805","Lamego",0.7,0.8,1,1.2,1.1,0.7,1.3,0.6,0.4,1.6,1.7,1.7,3.1,2.8,2.7,3.1,3,2.8,2.2,2.7,2.4,2.2,2.2,2,2,2,2.3,2.2,2.4,2.2,2.2
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",3.6,4.1,5,5.6,5.6,4,5,2.2,1.7,5.6,6,6,10.8,9.7,9.6,10.8,9.6,8.9,6.8,7.4,6.6,5.9,6.2,5.6,5.4,5.4,6.4,6.2,6.5,6.3,6.1
1812,"1171812","Penedono",23.6,26.8,32.6,36.8,36.5,26.4,24.7,10.9,8.5,24.2,26.5,26.3,47.2,42.2,41.8,47.3,46.4,43,33,40.4,36.1,32.6,33.4,30.6,29.7,29.3,34.8,33.6,35.5,34.1,33.1
1708,"1171708","Peso da Régua",1.4,1.6,2,2.2,2.2,1.6,1,0.4,0.4,0.7,0.8,0.9,1.5,1.3,1.3,1.6,1.6,1.5,1,1.3,1.2,1.1,1.1,1,1,1,1.1,1.1,1.2,1.2,1.1
1710,"1171710","Sabrosa",0.7,0.8,1,1.2,1.1,0.7,1,0.4,0.4,1.2,1.3,1.3,2.3,2.1,2.1,2.3,1.9,1.8,1.3,1.3,1.2,1.1,1.1,1,1,1,1.1,1.1,1.2,1.2,1.1
1711,"1171711","Santa Marta de Penaguião",1.4,1.6,2,2.2,2.2,1.6,1.6,0.7,0.5,1.6,1.7,1.7,3.1,2.8,2.7,3.1,2.3,2.1,1.6,1.3,1.2,1.1,1.1,1,1,1,1.1,1.1,1.2,1.2,1.1
1815,"1171815","São João da Pesqueira",2.8,3.3,3.9,4.5,4.4,3.2,4.7,2.1,1.6,5.6,6,6,10.8,9.7,9.6,10.8,11.1,10.2,7.9,10.1,9,8.2,8.3,7.6,7.4,7.3,8.8,8.4,8.9,8.5,8.3
1818,"1171818","Sernancelhe",11.5,13,15.8,17.8,17.7,12.8,13.1,5.8,4.5,13.5,14.7,14.6,26.3,23.5,23.4,26.3,27.6,25.5,19.7,25.6,22.8,20.6,21.1,19.4,18.8,18.5,22,21.3,22.5,21.6,21
1819,"1171819","Tabuaço",3.6,4.1,5,5.6,5.6,4,3.6,1.6,1.3,3.6,3.9,3.9,7,6.2,6.2,7,6.5,6,4.7,5.3,4.8,4.3,4.5,4.1,3.9,3.9,4.7,4.5,4.7,4.6,4.4
1820,"1171820","Tarouca",4.3,4.9,5.9,6.7,6.7,4.8,3.6,1.6,1.3,3.2,3.5,3.5,6.2,5.6,5.5,6.2,5.8,5.3,4.1,4.7,4.2,3.8,3.9,3.6,3.5,3.4,4.1,3.9,4.2,4,3.9
409,"1170409","Torre de Moncorvo",1.4,1.6,2,2.2,2.2,1.6,2.6,1.1,0.9,3.2,3.5,3.5,6.2,5.6,5.5,6.2,5.8,5.3,4.1,4.7,4.2,3.8,3.9,3.6,3.5,3.4,4.1,3.9,4.2,4,3.9
410,"1170410","Vila Flor",0.7,0.8,1,1.2,1.1,0.7,1.6,0.7,0.5,2,2.2,2.2,3.9,3.5,3.5,3.9,3.8,3.6,2.7,3.4,3,2.7,2.7,2.5,2.4,2.4,3,2.8,3,2.9,2.7
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,"1171714","Vila Real",2.2,2.4,3,3.4,3.3,2.4,4.5,2,1.6,5.6,6,6,10.8,9.7,9.6,10.8,8.5,7.8,6,5.3,4.8,4.3,4.5,4.1,3.9,3.9,4.7,4.5,4.7,4.6,4.4
401,"1180401","Alfândega da Fé",5.7,6.5,7.9,8.9,8.8,6.5,7.6,3.3,2.6,8.3,9.1,9.1,16.2,14.5,14.4,16.3,16.5,15.3,11.7,14.8,13.3,11.9,12.2,11.3,10.9,10.7,12.8,12.3,13.1,12.5,12.2
1702,"1181702","Boticas",2.2,2.4,3,3.4,3.3,2.4,3.6,1.6,1.3,4.4,4.8,4.7,8.5,7.6,7.6,8.5,6.5,6,4.7,4.1,3.6,3.3,3.3,3,3,2.9,3.5,3.3,3.6,3.4,3.3
402,"1180402","Bragança",89.5,101.4,123.5,139.5,138.3,100.1,119,52.4,40.7,130.1,142.4,141.4,253.6,227.3,224.9,254.2,237,219.2,168.3,194.4,173.9,156.8,160.7,147.5,142.7,141,167.8,161.7,171.1,164.5,159.4
1703,"1181703","Chaves",16.4,18.6,22.8,25.7,25.4,18.5,21.3,9.3,7.3,23,25.1,25,44.8,40.2,39.8,45,48,44.4,34.1,45.1,40.3,36.4,37.2,34.2,33.1,32.7,38.9,37.5,39.6,38.1,37
405,"1180405","Macedo de Cavaleiros",32.9,37.3,45.4,51.3,50.9,36.9,34.6,15.3,11.9,34.1,37.3,37.1,66.5,59.6,59,66.6,61.9,57.2,43.9,50.4,45.1,40.7,41.7,38.3,37.1,36.6,43.5,42,44.4,42.7,41.4
406,"1180406","Miranda do Douro",0.7,0.8,1,1.2,1.1,0.7,2.9,1.3,1,4,4.3,4.4,7.7,6.9,6.8,7.7,8.9,8.2,6.3,8.8,7.8,7,7.2,6.6,6.4,6.3,7.5,7.3,7.7,7.4,7.2
407,"1180407","Mirandela",2.2,2.4,3,3.4,3.3,2.4,2.9,1.3,1,3.2,3.5,3.5,6.2,5.6,5.5,6.2,5.8,5.3,4.1,4.7,4.2,3.8,3.9,3.6,3.5,3.4,4.1,3.9,4.2,4,3.9
408,"1180408","Mogadouro",2.8,3.3,3.9,4.5,4.4,3.2,4.2,1.9,1.4,4.7,5.2,5.1,9.3,8.4,8.2,9.3,11.1,10.2,7.9,11.4,10.2,9.2,9.5,8.7,8.4,8.3,9.9,9.6,10.1,9.6,9.4
1706,"1181706","Montalegre",0,0,0,0,0,0,4.7,2.1,1.6,7.2,7.8,7.8,13.9,12.5,12.3,14,11.1,10.2,7.9,7.4,6.6,5.9,6.2,5.6,5.4,5.4,6.4,6.2,6.5,6.3,6.1
1707,"1181707","Murça",6.5,7.3,8.9,10.1,9.9,7.2,6.6,2.9,2.2,6.3,7,6.9,12.4,11.1,11,12.4,12.7,11.7,9,11.4,10.2,9.2,9.5,8.7,8.4,8.3,9.9,9.6,10.1,9.6,9.4
1712,"1181712","Valpaços",93.8,106.3,129.5,146.2,145,105,96.7,42.5,33.1,94,102.8,102.2,183.2,164.3,162.6,183.8,169.8,157.1,120.6,137.9,123.4,111.2,114,104.6,101.3,100,119.1,114.8,121.4,116.7,113.1
1713,"1181713","Vila Pouca de Aguiar",14.3,16.2,19.8,22.3,22.1,16,14.7,6.5,5,14.2,15.7,15.5,27.8,25,24.7,27.9,22.3,20.6,15.8,14.8,13.3,11.9,12.2,11.3,10.9,10.7,12.8,12.3,13.1,12.5,12.2
411,"1180411","Vimioso",8.5,9.7,11.9,13.4,13.4,9.6,13.4,5.9,4.6,15.5,17,16.8,30.2,27.1,26.7,30.2,30.3,28,21.5,26.9,24,21.7,22.3,20.4,19.7,19.5,23.2,22.3,23.7,22.8,22.1
412,"1180412","Vinhais",97.3,110.4,134.4,151.9,150.5,108.9,104.5,46,35.8,103.9,113.7,113,202.5,181.6,179.8,203.1,185.2,171.2,131.5,148,132.4,119.4,122.3,112.2,108.7,107.3,127.8,123.2,130.2,125.2,121.4
101,"1610101","Águeda",0,0,0,0,0,0,1.8,1.8,1.9,3.1,3.2,1.9,4.7,3.6,3.3,3.3,2.8,3,2.4,1.9,1.3,0.9,1.1,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3
102,"1610102","Albergaria-a-Velha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"1610103","Anadia",0,0,0,0,0,0,1.8,1.8,1.9,3.1,3.2,1.9,4.7,3.6,3.3,3.3,2.8,3,2.4,1.9,1.3,0.9,1.1,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3
