"Muni_ID","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",53295,48979,34400,31433,15546,14502,18534,10437,15377,14155,13397,11812,7982,8930,114339,10005,10180,8147,8843,8442,10140,9681,11778
1602,"1111602","Caminha",6561,5910,3066,3596,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",30168,29650,20655,18217,9230,9945,12474,9240,12104,12584,12238,11554,8987,9400,979072,11861,11550,9757,10571,10595,12221,12368,13706
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,189612,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,57216,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",102091,93090,63091,61817,28283,26719,37246,20095,30930,29088,26317,24468,14481,18603,213076,21554,23834,18406,20424,17919,21879,20351,27034
1608,"1111608","Valença",14035,13866,9166,5715,2982,2661,3508,2092,3335,3073,2785,2752,2023,2432,40443,2791,2686,2237,2509,2423,3011,2744,3290
1609,"1111609","Viana do Castelo",52232,46823,27265,26901,9514,8858,12251,6536,10113,9620,8962,7969,4422,5642,22706,6812,7629,5804,6482,5556,6896,6226,8713
1610,"1111610","Vila Nova de Cerveira",5206,4779,2816,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",39073,36408,24509,23915,11379,10788,14697,9020,11918,11260,10428,9724,6096,7938,48900,8784,9770,7099,8817,7278,8758,8425,10477
302,"1120302","Barcelos",128602,107332,71608,67326,25932,23799,32227,19093,26285,23714,21193,18561,10685,14163,278891,13994,15388,12326,13521,12389,14592,14204,18367
303,"1120303","Braga",64389,52173,38519,35084,15876,14423,19510,10186,15853,13944,13244,11377,6682,9276,266012,8507,9085,7441,8793,7355,8689,8897,10816
306,"1120306","Esposende",8410,8424,5716,7274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",18963,17261,10915,8841,3908,3584,4291,2563,3574,3310,2912,2894,0,0,912,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",61826,55237,36259,34650,13325,12084,16276,8394,10413,9397,8497,7634,4808,5667,170250,5726,6178,4649,5732,4942,5892,5814,7223
307,"1130307","Fafe",54169,47558,30662,31538,12640,11744,14686,9289,12245,11141,10922,9880,7270,7800,297466,8078,7732,7806,7916,6509,7478,7114,9241
308,"1130308","Guimarães",132981,110446,73114,65742,25757,23241,31038,15937,25831,23818,22655,19864,13367,17469,501734,17713,18346,14868,17508,14419,16890,16346,20619
309,"1130309","Póvoa de Lanhoso",62100,55765,32092,29718,10519,9378,12649,6943,10142,9437,8563,7600,5514,6046,149971,6239,6393,5167,6432,5184,6072,5619,7205
1314,"1131314","Santo Tirso",47623,38318,27314,24618,8255,5453,7201,4304,6222,5778,5750,4886,3417,4587,109032,4603,5013,4037,4376,3844,4465,4315,5227
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4892,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",22440,22078,13812,14629,6747,6362,7863,3291,3780,3544,3416,3153,0,0,12380,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",71035,56722,42345,40001,17670,15910,21708,12663,18756,17306,16275,14317,9573,12815,296523,13406,14182,11560,12055,10683,12963,12705,15602
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31239,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",30107,27339,15384,17054,5292,5854,6602,2430,2772,2790,0,0,0,0,18421,0,0,0,0,0,0,0,0
1306,"1141306","Maia",4124,3512,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
