"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",1.1,1.9,1.4,1.8,1.8,2.1,2.1,1.9,2.2,2.3,2.4,2.5,2.3,2.1,2.1,2.5,2.6,2.5,1.8,1.8,1.8,1.9,2,2.1,2.1,2,1.9,2,2.2,2,1.9
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1604,"1111604","Monção",0.3,0.6,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1605,"1111605","Paredes de Coura",0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.6,0.6,0.6,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",0.7,1.2,0.9,1.2,1.2,1.3,1.3,1.2,1.4,1.4,1.5,1.5,1.4,1.2,1.2,1.3,1.2,1.1,0.7,0.7,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",5.3,8.9,6.4,8,7.8,8.7,8.1,7.1,8,7.9,8.1,8.2,7.2,6.5,6.2,6.8,6.8,6.3,4.2,3.9,3.8,3.6,3.5,3.7,3.7,3.5,3.3,3.5,3.9,3.5,3.3
1610,"1111610","Vila Nova de Cerveira",0.6,0.9,0.7,0.8,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
301,"1120301","Amares",1.1,1.8,1.3,1.4,1.2,1.2,1,0.7,0.6,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
302,"1120302","Barcelos",12.7,21.4,15.4,19.6,19.4,21.9,20.8,18.5,21.2,21.1,22.1,22.4,20.2,18.4,17.9,20.1,20.3,19.1,13.2,12.6,12.8,12.4,12.6,13.4,13.4,12.6,11.9,12.6,14.1,12.6,11.9
303,"1120303","Braga",10.2,17.1,12.3,15.8,15.8,17.9,17.1,15.3,17.7,17.7,18.6,19,17.2,15.2,14.3,15.6,15.1,13.7,8.9,8.1,7.7,6.8,6.3,6.7,6.7,6.3,5.9,6.3,7,6.3,5.9
306,"1120306","Esposende",5.6,9.4,6.8,8.4,8.1,9,8.4,7.3,8.2,8,8.2,8.2,7.3,6.7,6.7,7.6,7.9,7.6,5.4,5.3,5.6,5.5,5.9,6.2,6.2,5.9,5.5,5.9,6.5,5.9,5.5
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",9.7,16.3,11.7,13.9,12.9,13.6,12,10,10.7,9.9,9.6,9.1,7.5,6.9,6.7,7.6,7.7,7.3,5,4.8,5,4.8,4.9,5.2,5.2,4.9,4.6,4.9,5.5,4.9,4.6
