"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",8.3,8.3,8.3,7.8,7.3,6.7,6.2,5.7,5.2,4.6,4.1,3.6,3,3.5,3.8,4.2,9.2,10,10.8,11.6,12.3,6.5,7,7,7,7,0,2.3,4.6,7,7
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",6.5,6.5,6.5,6.4,6.3,6.2,6.2,6.2,6.1,6,5.9,5.9,5.8,5.5,5.2,4.9,9.1,8.4,7.8,7.1,6.5,2.9,2.6,2.6,2.6,2.6,0,0.9,1.7,2.6,2.6
1604,"1111604","Monção",6.1,6.1,6.1,5.9,5.8,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.6,4.3,3.8,3.4,6,5.2,4.4,3.6,2.8,1,0.6,0.6,0.6,0.6,0,0.2,0.4,0.6,0.6
1605,"1111605","Paredes de Coura",1.3,1.3,1.3,1.2,1.2,1.2,1.1,1,1,0.9,0.9,0.9,0.8,0.9,0.9,0.9,2,2.1,2.2,2.3,2.4,1.2,1.3,1.3,1.3,1.3,0,0.4,0.9,1.3,1.3
1606,"1111606","Ponte da Barca",1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.7,3.7,3.9,4.1,4.4,4.5,2.4,2.5,2.5,2.5,2.5,0,0.8,1.7,2.5,2.5
1607,"1111607","Ponte de Lima",2.3,2.3,2.3,2.2,2.2,2.1,2,2,2,1.9,1.8,1.7,1.7,1.7,1.9,2,4.1,4.3,4.5,4.6,4.9,2.5,2.6,2.6,2.6,2.6,0,0.9,1.7,2.6,2.6
1608,"1111608","Valença",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,1.5,1.6,1.7,1.7,1.9,0.9,1,1,1,1,0,0.4,0.7,1,1
1609,"1111609","Viana do Castelo",0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.4,0.4,0.3,0.2,0.1,0,0.1,0.3,0.5,1.3,1.6,1.9,2.2,2.5,1.5,1.6,1.6,1.6,1.6,0,0.5,1.1,1.6,1.6
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",1.6,1.6,1.6,1.9,2.2,2.6,2.9,3,3,3.1,3.1,3.3,3.3,2.9,2.1,1.4,2.3,2,1.6,1.2,0.8,0.2,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.7,1.7,1.7,1.7,3.5,3.5,3.5,3.5,3.5,1.9,1.9,1.9,1.9,1.9,0,0.6,1.3,1.9,1.9
303,"1120303","Braga",0,0,0,0.1,0.1,0.3,0.4,0.5,0.6,0.7,0.8,1.1,1.2,1.2,1.2,1.1,2.2,1.9,1.9,2,2,1,1.2,1.2,1.2,1.2,0,0.4,0.7,1,1
306,"1120306","Esposende",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.6,1,0.9,0.7,0.5,0.4,0.1,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",3.8,3.8,3.8,3.7,3.6,3.6,3.6,3.5,3.4,3.4,3.3,3.3,3.2,3.4,3.6,3.7,7.8,8.1,8.5,8.9,9.1,4.8,4.9,4.9,4.9,4.9,0,1.7,3.3,4.9,4.9
307,"1130307","Fafe",0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.7,1.5,1.5,1.6,1.7,1.8,0.9,1,1,1,1,0,0.4,0.7,1,1
308,"1130308","Guimarães",2.9,2.9,2.9,2.8,2.6,2.5,3.2,2.6,2.5,2.4,2.2,2.3,2.4,2.5,2.3,1.9,3.9,4.1,4.2,4.4,4.6,2.4,2.5,2.5,2.5,2.5,0,0.8,1.7,2.5,2.5
