"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",13.4,0,0,10,10.4,11.7,13.7,13.7,16.4,17.3,15.9,17,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",13.4,0,0,10,10.4,11.7,13.7,13.7,16.4,17.3,31.8,34,41.9,21.6,21.6,21.2,20.4,19.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",13.4,17,16.1,10,10.4,23.3,27.3,27.5,32.8,34.6,47.8,51.1,41.9,43.1,43.1,42.4,40.8,38.6,33.5,53.1,51.3,53.1,38.5,42.5,42.5,42.9,43.9,42.5,40.5,50.3,61
1608,"1111608","Valença",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",13.4,0,0,10,10.4,11.7,13.7,13.7,16.4,17.3,15.9,17,20.9,21.6,21.6,21.2,20.4,19.3,16.7,0,25.7,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",26.8,17,32.2,20,20.7,23.3,27.3,27.5,16.4,17.3,15.9,17,20.9,21.6,21.6,21.2,20.4,19.3,16.7,26.6,25.7,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",13.4,17,16.1,10,10.4,11.7,13.7,13.7,16.4,17.3,15.9,17,20.9,21.6,21.6,21.2,20.4,19.3,16.7,26.6,25.7,26.6,0,0,0,0,0,0,0,0,0
303,"1120303","Braga",26.8,34,32.2,30,20.7,23.3,27.3,27.5,16.4,17.3,15.9,17,20.9,21.6,21.6,21.2,20.4,19.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",53.5,68.1,64.4,60.1,62.2,69.9,68.2,68.7,81.9,86.5,95.5,85.1,104.7,86.3,86.3,84.8,61.1,57.9,50.2,53.1,51.3,26.6,38.5,42.5,42.5,42.9,43.9,42.5,40.5,50.3,61
307,"1130307","Fafe",40.1,51.1,48.3,40,41.5,34.9,27.3,27.5,32.8,17.3,15.9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",13.4,17,16.1,20,10.4,11.7,13.7,13.7,16.4,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",13.4,0,0,10,10.4,11.7,13.7,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",13.4,17,16.1,10,10.4,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,16.7,26.6,25.7,26.6,38.5,42.5,42.5,42.9,43.9,42.5,40.5,50.3,61
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",26.8,17,32.2,20,20.7,23.3,13.7,13.7,16.4,17.3,15.9,17,20.9,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
