"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.6,0.5,0.6,0.8,1.3,1.4,1.3,1.3,0.9,1,1.2,0.7,1.7,1.1,0.8,3.6,3,3.2,3.6,3.2,3.5,1.7,2.3,1.4,1.5,1.7,1.7,0.7,4,1,4.8
1602,"1111602","Caminha",0,0,0,0.1,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.3,0.7,0.4,0.2,0.9,0.6,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0.4,0.3,0.4,0.4,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",1.2,1,1.2,1.5,2.2,2.2,1.8,1.7,1.1,1.1,1.4,0.7,1.7,1.1,0.8,3.6,3,3.2,3.6,3.2,3.5,1.7,2.3,1.4,1.5,1.7,1.7,0.7,4,1,4.8
1607,"1111607","Ponte de Lima",5.5,4.5,5.4,6.4,9.1,8.8,7.2,6.5,4,4.1,4.7,2.5,5.7,3.5,2.6,11.4,9.4,10.2,11.3,9.9,10.7,5.3,7.1,4.3,4.7,5.1,5.1,2,12.4,3.1,14.8
1608,"1111608","Valença",0.4,0.3,0.4,0.4,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",2.2,1.8,2.2,3.1,5.1,5.7,5.3,5.3,3.6,4.1,5.3,3,7.4,4,2.6,10.1,7.3,6.9,6.8,5.2,4.8,2,2.3,1.4,1.5,1.7,1.7,0.7,4,1,4.8
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",6.7,5.5,6.6,10.1,17.5,20.3,19.3,19.9,13.8,16,20.5,11.8,29.7,16.2,10.8,42.3,31.1,30.1,30,23.5,22.7,9.9,11.9,7.2,7.8,8.5,8.5,3.4,20.7,5.3,24.7
