"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1602,"1111602","Caminha",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1603,"1111603","Melgaço",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1604,"1111604","Monção",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1605,"1111605","Paredes de Coura",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1606,"1111606","Ponte da Barca",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1607,"1111607","Ponte de Lima",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1608,"1111608","Valença",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1609,"1111609","Viana do Castelo",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1610,"1111610","Vila Nova de Cerveira",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
301,"1120301","Amares",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
302,"1120302","Barcelos",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
303,"1120303","Braga",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
306,"1120306","Esposende",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
310,"1120310","Terras de Bouro",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
313,"1120313","Vila Verde",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
307,"1130307","Fafe",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
308,"1130308","Guimarães",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
309,"1130309","Póvoa de Lanhoso",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1314,"1131314","Santo Tirso",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1318,"1131318","Trofa",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
311,"1130311","Vieira do Minho",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
312,"1130312","Vila Nova de Famalicão",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
314,"1130314","Vizela",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
107,"1140107","Espinho",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1304,"1141304","Gondomar",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1306,"1141306","Maia",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1308,"1141308","Matosinhos",130,130,130,130,130,130,55,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
