"Muni_ID","ID","Muni","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1601,"1111601","Arcos de Valdevez",4,4,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,5.4,4.8,4.2,3.6,3,2.4,1.8,1.2,0.6,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",3,3,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2,2,2,2,2,2,2,2
1605,"1111605","Paredes de Coura",2,2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",4,4,4,5.2,6.4,7.6,8.8,10,11.2,12.4,13.6,14.8,16,14.5,13,11.5,10,8.5,7,5.5,4,2.5,1,1,1,1,1,1,1,1,1
1607,"1111607","Ponte de Lima",5,5,5,7.1,9.2,11.3,13.4,15.5,17.6,19.7,21.8,23.9,26,25.3,24.6,23.9,23.2,22.5,21.8,21.1,20.4,19.7,19,19,19,19,19,19,19,19,19
1608,"1111608","Valença",3,3,3,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,1,1,1,1,1,1,1,1
1609,"1111609","Viana do Castelo",4,4,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,8.6,8.2,7.8,7.4,7,6.6,6.2,5.8,5.4,5,5,5,5,5,5,5,5,5
1610,"1111610","Vila Nova de Cerveira",2,2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",13,13,13,12.7,12.4,12.1,11.8,11.5,11.2,10.9,10.6,10.3,10,9.6,9.2,8.8,8.4,8,7.6,7.2,6.8,6.4,6,6,6,6,6,6,6,6,6
302,"1120302","Barcelos",5,5,5,5.8,6.6,7.4,8.2,9,9.8,10.6,11.4,12.2,13,12.4,11.8,11.2,10.6,10,9.4,8.8,8.2,7.6,7,7,7,7,7,7,7,7,7
303,"1120303","Braga",17,17,17,16.2,15.4,14.6,13.8,13,12.2,11.4,10.6,9.8,9,8.3,7.6,6.9,6.2,5.5,4.8,4.1,3.4,2.7,2,2,2,2,2,2,2,2,2
306,"1120306","Esposende",1,1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",2,2,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
313,"1120313","Vila Verde",34,34,34,35.6,37.2,38.8,40.4,42,43.6,45.2,46.8,48.4,50,46,42,38,34,30,26,22,18,14,10,10,10,10,10,10,10,10,10
307,"1130307","Fafe",27,27,27,24.6,22.2,19.8,17.4,15,12.6,10.2,7.8,5.4,3,2.7,2.4,2.1,1.8,1.5,1.2,0.9,0.6,0.3,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",10,10,10,9.3,8.6,7.9,7.2,6.5,5.8,5.1,4.4,3.7,3,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2,2,2,2,2,2,2,2,2
309,"1130309","Póvoa de Lanhoso",4,4,4,4,4,4,4,4,4,4,4,4,4,3.7,3.4,3.1,2.8,2.5,2.2,1.9,1.6,1.3,1,1,1,1,1,1,1,1,1
1314,"1131314","Santo Tirso",5,5,5,4.6,4.2,3.8,3.4,3,2.6,2.2,1.8,1.4,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",3,3,3,2.7,2.4,2.1,1.8,1.5,1.2,0.9,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",2,2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,1.1,2.2,3.3,4.4,5.5,6.6,7.7,8.8,9.9,11,11,11,11,11,11,11,11,11
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
