"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",115,115,115,108,101,93,86,79,71,64,57,50,42,48,53,58,127,138,149,160,170,90,96,96,96,96,0,32,64,96,96
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",89,89,89,88,87,86,86,85,84,83,82,81,80,76,71,67,125,116,107,98,90,40,36,36,36,36,0,12,24,36,36
1604,"1111604","Monção",84,84,84,82,80,78,76,74,72,70,68,66,64,59,53,47,83,72,61,50,38,14,8,8,8,8,0,3,5,8,8
1605,"1111605","Paredes de Coura",18,18,18,17,17,16,15,14,14,13,12,12,11,12,12,13,28,29,30,32,33,17,18,18,18,18,0,6,12,18,18
1606,"1111606","Ponte da Barca",22,22,22,22,22,22,21,21,21,21,20,20,20,22,23,24,51,54,57,60,62,33,34,34,34,34,0,11,23,34,34
1607,"1111607","Ponte de Lima",32,32,32,31,30,29,28,28,27,26,25,24,23,24,26,27,56,59,62,64,67,35,36,36,36,36,0,12,24,36,36
1608,"1111608","Valença",9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,10,21,22,23,24,26,13,14,14,14,14,0,5,9,14,14
1609,"1111609","Viana do Castelo",13,13,13,12,10,9,8,6,5,4,3,1,0,2,4,7,18,22,26,31,35,20,22,22,22,22,0,7,15,22,22
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",22,22,22,22,23,24,24,25,25,26,26,27,27,24,22,19,32,27,22,16,11,3,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,16,32,32,32,32,32,16,16,16,16,16,0,5,11,16,16
303,"1120303","Braga",0,0,0,1,2,4,5,6,7,8,10,11,12,12,12,13,26,26,26,27,27,14,14,14,14,14,0,5,9,14,14
