"Muni_ID","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",6592856,8389735,10358394,8456485,6059636,6703106,7013576,7327826,7648796,8182015,7019576,7619546,6907076,7882015,5062197,6733856,6916826,7098326,7281326,6412106,6022136,6779606,5234697
1602,"1111602","Caminha",667500,607500,592500,391500,60000,112500,170250,231750,298500,390000,337500,360000,330000,375000,285000,375000,360000,337500,375000,307500,285000,322500,247500
1603,"1111603","Melgaço",645000,607500,622500,562500,330000,510000,480000,457500,435000,405000,337500,360000,315000,345000,277500,337500,322500,307500,337500,270000,255000,285000,225000
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,615000,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945000,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,555000,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",1813470,1961728,2051576,1909318,1078182,1774531,1662212,1549894,1437606,1332758,1085682,1115621,950924,1003334,905985,935924,891015,846076,928455,748758,703818,793667,613970
1608,"1111608","Valença",745500,977250,1245000,1051500,825000,893250,965250,1040250,1119000,1147500,990000,1072500,967500,1102500,885000,1117500,1065000,1005000,1110000,9e+05,840000,952500,735000
1609,"1111609","Viana do Castelo",435986,413819,413819,376894,192122,332531,310364,288197,266031,243864,199531,199531,169955,177364,162576,162576,155197,147788,162576,133030,118243,140409,103455
1610,"1111610","Vila Nova de Cerveira",632932,644152,636682,561773,277136,431424,464394,441924,411955,389485,322076,337046,292106,322076,232197,307106,292106,277136,307106,247167,232197,262167,202227
301,"1120301","Amares",294402,315250,309280,179629,74515,161720,257114,359228,469531,514258,432273,454622,402455,447182,335379,432273,409894,395015,432273,350288,327940,372637,283212
302,"1120302","Barcelos",263273,263273,277910,255986,226713,255986,248667,241349,234031,226713,197470,219394,197470,234031,190152,241349,226713,212107,234031,190152,182834,204788,153591
303,"1120303","Braga",713319,704410,734077,536849,289197,327743,368508,412273,458258,556107,474546,504213,452319,511622,422652,511622,489394,459728,511622,415243,385576,437470,333682
306,"1120306","Esposende",87576,87576,87576,80288,51076,80288,72970,72970,65682,65682,51076,58394,51076,58394,43788,58394,58394,51076,58394,43788,43788,51076,36500
