"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",131.6,128.2,95.5,74.7,80.3,67.7,52,56.7,46.2,40.6,29.9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",7.9,7.9,4.8,3.5,4,3,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",42.5,41.3,30.8,24.2,26,22,18.1,19.9,16.3,15.4,12.1,9.8,3.2,3.1,0.3,0.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",33.9,33.6,21.7,16,17.4,13.3,14.5,16,12.2,27.7,20.7,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",12.1,11.9,8.2,6.2,6.7,5.4,3.7,4.2,3.2,1.6,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",34.4,33.4,25.2,19.8,21.3,18,15.8,17.2,13.8,21.9,17,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",40.7,40.5,27.5,21.2,22.8,18.3,15.4,17.2,13.2,17.7,12.9,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,"1111608","Valença",2.3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",21.5,22.3,10.2,6.5,8.1,4.8,5,5.5,2.8,5.4,2.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",3.9,3.9,2.3,1.6,1.8,1.3,1.1,1.2,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",15.3,15.6,8.1,5.1,5.4,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",50.4,51.1,29.4,20.1,22.9,16.1,5.7,5.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
