"Admin_id","ID","Muni","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",4279,4171,3946,4208,3411,2801,4353,3100,4774,4370,4677,4113,3324,4025,4700,4864,5222,4216,4779,3940,4328,4274,4585
302,"1120302","Barcelos",4165,3942,3941,4001,3238,2750,4227,3007,4797,4415,4534,3962,3097,3950,5204,4664,5053,4136,4259,4004,4263,4252,4701
303,"1120303","Braga",4242,3830,4108,3968,3479,2794,4310,2936,4920,4640,4752,4280,3306,4253,5131,4812,5077,4353,4932,4201,4433,4455,4757
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",4321,4212,3989,4150,3402,2842,4387,2808,4860,4454,4670,4136,3456,3993,4850,4875,5128,4145,4608,3985,4458,4354,4646
307,"1130307","Fafe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"1130308","Guimarães",4360,4118,4095,4428,3640,2939,4398,2971,4995,4623,4973,4396,3643,4430,5239,5163,5326,4661,5156,4438,4433,4362,4845
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",4359,3943,4289,4428,0,3039,4380,3202,5145,4885,0,4567,0,4705,0,5341,5784,0,4977,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",4245,3822,4158,4110,3552,2859,4292,3074,4959,4678,4887,4210,3283,4311,5448,5056,5310,4476,4666,4342,4493,4457,4996
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",4354,4549,3864,5017,3595,3881,4377,3582,4790,4714,5691,4502,4102,4284,6110,5020,4707,5168,5588,4858,4656,4022,5396
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",4135,4200,3984,4426,3405,3312,4177,2856,4797,4625,5154,4003,3490,4108,5635,4974,5085,4476,5014,4371,4489,4464,5305
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,"1151301","Amarante",4558,4454,4223,5138,3850,3822,4556,3726,5163,4949,5651,4867,4027,5058,5998,5394,5443,5458,5531,5045,4877,4456,5362
1302,"1151302","Baião",4711,4672,4381,5391,3872,3982,4677,3891,5241,4883,5797,4910,4176,5158,6267,5489,5538,5994,5916,5244,5010,4324,5536
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"1150305","Celorico de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,"1151804","Cinfães",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",4475,3951,4484,4573,4008,3183,4485,3613,5292,5040,5352,4713,3955,4859,5783,5520,5742,5253,5489,4967,4974,0,0
1305,"1151305","Lousada",4448,3946,4453,4568,3924,3267,4465,3629,5265,5018,5341,4760,3966,4878,5829,5484,5798,5128,5339,4950,4925,4631,5257
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",4439,3935,4482,4468,0,3071,4454,3248,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",4393,4221,4127,4743,0,3498,4415,3543,5015,4716,5484,4571,3991,4549,0,5223,5307,5059,5386,0,0,4181,0
1311,"1151311","Penafiel",4461,4322,4221,4890,0,3679,4470,3683,5150,4910,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,"1151813","Resende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"1160104","Arouca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,"1171701","Alijó",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,"1171801","Armamar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1805,"1171805","Lamego",5086,4709,4649,5176,0,4056,4836,4020,5209,5161,6367,4959,3664,5291,6333,5139,5775,5850,6062,5356,5300,4655,6112
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",0,0,0,0,0,3645,4970,4203,5393,5820,6665,4937,4269,5179,7104,5597,5374,5949,5965,5453,5765,4481,6481
1812,"1171812","Penedono",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,"1171708","Peso da Régua",0,0,0,0,0,0,0,0,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,"1171710","Sabrosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818,"1171818","Sernancelhe",0,0,0,0,0,4407,4972,5178,5567,5686,6606,5149,4343,6211,6928,5719,6334,6204,6065,5764,5768,4416,6257
1819,"1171819","Tabuaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,"1171820","Tarouca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0,0,0,0,0,0,0,0,5981,0,5798,6776,0,0,0,0,0,0
410,"1170410","Vila Flor",5993,5053,4827,5010,0,4164,5226,4931,5340,5950,7131,5234,0,5286,0,0,0,0,0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,"1171714","Vila Real",4992,5177,4716,5483,0,4559,4853,5441,5342,5361,5952,5106,4412,5556,6425,5599,5643,6400,5839,5517,5315,5637,6307
401,"1180401","Alfândega da Fé",0,0,0,0,0,4634,5727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,"1181702","Boticas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,"1180402","Bragança",6690,5864,5495,5513,0,5252,5270,5906,6172,6667,7478,6059,5700,6733,7364,6336,6734,7007,6598,6360,7196,6735,7342
1703,"1181703","Chaves",4923,4331,4768,4719,0,3718,4858,3908,5621,5458,5951,5011,4093,5302,5879,5709,6038,5687,6000,5342,5219,5418,5346
405,"1180405","Macedo de Cavaleiros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,"1180406","Miranda do Douro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,"1180407","Mirandela",5554,4578,4435,4569,0,3944,4833,4226,5024,5721,6811,5023,3445,4689,6446,4629,6074,5955,5884,5406,5405,5099,6769
408,"1180408","Mogadouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706,"1181706","Montalegre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,"1181707","Murça",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,"1181712","Valpaços",5099,4502,4663,4825,0,3695,4753,4535,5422,5524,6287,5056,3790,5108,6407,5273,5988,5978,5943,5487,5591,5365,6055
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0,4322,5004,5502,5490,5492,6138,5302,4663,5491,6163,5956,5818,6213,6070,5515,5701,5826,0
411,"1180411","Vimioso",0,0,0,0,0,4926,5912,5763,5991,7089,8320,6074,5295,6055,8177,6149,7280,7615,7139,7045,6889,6257,0
412,"1180412","Vinhais",0,0,0,0,0,4058,4925,5177,5656,6188,6540,5318,4550,5728,6888,5737,6387,6353,6126,5458,6296,5867,6518
101,"1610101","Águeda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"1610102","Albergaria-a-Velha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"1610103","Anadia",5714,5467,5160,5271,5102,5036,5461,5376,5841,5702,7209,5317,4688,4878,6685,5522,5561,5576,6363,5218,5847,5105,6867
105,"1610105","Aveiro",5199,5275,5604,5111,4794,4871,4949,5293,5512,5370,6350,5339,4813,4804,6203,5657,5555,5301,5731,5068,6164,5228,6177
108,"1610108","Estarreja",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"1610110","Ílhavo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"1610111","Mealhada",5626,6109,5602,6100,5842,6195,5761,5483,6513,6047,7070,5597,0,5854,0,0,0,0,0,0,0,0,0
112,"1610112","Murtosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"1610115","Ovar",4690,4736,4770,4348,4236,3608,4273,3903,5136,4838,5529,4796,4348,4460,5553,4991,4873,4920,5155,4321,5557,4828,5769
117,"1610117","Sever do Vouga",0,0,0,0,0,0,0,3548,4945,4836,5953,4593,4347,4825,6203,5001,4392,4896,5414,5173,4705,3798,5297
118,"1610118","Vagos",5290,5390,5296,5104,4920,5045,4942,5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,"1620602","Cantanhede",5760,5986,5345,5964,5604,5974,5574,5679,6554,5601,6952,5280,5565,5127,6724,5988,5783,5543,6299,5342,6554,5820,7227
603,"1620603","Coimbra",5936,5740,5626,5585,5442,5417,5718,5241,6246,6053,7297,5732,4944,5507,6610,5946,5500,5738,6504,5493,6897,5915,6567
604,"1620604","Condeixa-a-Nova",6846,5665,5652,5329,5168,5276,5895,5684,6053,6137,7554,5893,4809,5251,6785,5832,5715,5824,6997,5676,6545,5215,7221
605,"1620605","Figueira da Foz",5649,4892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,"1620608","Mira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",5854,5461,5149,5430,5184,5584,5306,5175,6229,5493,7080,5295,4994,4962,6457,5567,5484,5635,6142,5154,6486,5109,6985
613,"1620613","Penacova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,"1620615","Soure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5638,0,0,0,0,0,0,0
1004,"1631004","Batalha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,"1631009","Leiria",6834,5557,5378,5288,5524,5805,5856,5517,6051,5864,7771,5894,5376,5167,6832,5708,5251,6373,6662,5806,6729,4927,7429
1010,"1631010","Marinha Grande",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
