"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",7,7,7,8.8,8.8,7,10.5,10.5,10.5,12.3,12.3,12.3,7,7,5.3,5.3,3.5,3.5,3.5,5.3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
1602,"1111602","Caminha",0,0,0,0,0,0,1.8,1.8,1.8,7,7,7,3.5,3.5,3.5,1.8,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",3.5,3.5,3.5,3.5,3.5,3.5,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",14,15.8,15.8,15.8,15.8,15.8,14,14,14,12.3,12.3,12.3,7,7,5.3,5.3,3.5,3.5,3.5,5.3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
1607,"1111607","Ponte de Lima",63,66.5,70,73.5,71.8,70,59.5,59.5,61.3,45.5,43.8,43.8,28,22.8,19.3,15.8,12.3,12.3,12.3,14,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
1608,"1111608","Valença",3.5,3.5,3.5,3.5,3.5,3.5,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",24.5,26.3,26.3,28,28,28,38.5,38.5,38.5,57.8,57.8,56,35,29.8,26.3,21,12.3,12.3,12.3,5.3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",77,82.3,85.8,89.3,89.3,87.5,138.3,138.3,143.6,234.6,227.6,227.6,140.1,120.8,101.5,82.3,54.3,50.8,49,22.8,22.8,21,19.3,19.3,19.3,19.3,21,19.3,19.3,19.3,19.3
302,"1120302","Barcelos",56,59.5,61.3,64.8,64.8,63,59.5,59.5,61.3,57.8,57.8,56,35,29.8,26.3,21,19.3,19.3,17.5,28,26.3,26.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.8,22.8
303,"1120303","Braga",56,59.5,61.3,64.8,64.8,63,64.8,64.8,66.5,71.8,70,70,42,36.8,31.5,24.5,26.3,24.5,24.5,42,40.3,38.5,35,35,35,35,36.8,35,35,35,35
306,"1120306","Esposende",0,0,0,0,0,0,5.3,5.3,5.3,12.3,12.3,12.3,7,7,5.3,5.3,3.5,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",7,7,7,8.8,8.8,7,7,7,7,7,7,7,3.5,3.5,3.5,1.8,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",113.8,119,124.3,129.5,127.8,126,133,134.8,138.3,155.8,152.3,150.6,92.8,80.5,66.5,54.3,36.8,35,33.3,19.3,17.5,17.5,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
307,"1130307","Fafe",3.5,3.5,3.5,3.5,3.5,3.5,5.3,5.3,5.3,7,7,7,3.5,3.5,3.5,1.8,3.5,1.8,1.8,5.3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
308,"1130308","Guimarães",108.5,115.5,119,126,124.3,122.5,119,119,122.5,122.5,120.8,119,73.5,64.8,54.3,43.8,33.3,31.5,29.8,28,26.3,26.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.8,22.8
