"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,1.5,3.2,3.6,3.4,4,4.6,4.7,4.1,4.9,0.4,0.9,1.8,0,0,0,0,0,0,0,0,0.6,1.5,2.4,1.2
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2,2.1,1.9,3.4,2.4,3.5,3,4,5.4,5.4,7,3.3
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,2,3,2.6,2.5,2.7,2.9,2.9,2.5,3,1.5,2.4,3.6,3.9,4,3.8,6.9,4.7,6.7,6,7.4,9.9,10.4,12.6,6
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,2.7,4.8,1.6,1.6,1.4,1.2,1.2,1,1.2,0,0.3,1.1,0.4,0.6,0.3,1.4,1.2,2.2,2.3,3.7,5.8,7.2,9.6,4.6
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.4,0.9,0.6,0.9,0.9,1.2,1.6,1.8,2.2,1
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,0.5,1.1,0.9,1.5,1.5,2.4,3.6,4.4,5.7,2.7
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,2.9,2,3.1,2.9,4.1,5.3,6.2,7.7,3.7
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.1,3,5.8,8.2,11.6,5.5
303,"1120303","Braga",0,0,0,0,0,0,0,5.3,7.6,5.3,5.1,6.1,7.2,7.4,6.5,8,6.8,9.6,13.3,18.3,18.4,18.4,31.2,20.4,28.5,25.5,29.5,37.1,37.3,42.5,19.9
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0.4,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,0,0,0,0,2.8,4.5,4.2,4,4.9,5.8,6.1,5.4,6.6,2.4,3.6,5.2,3.9,4.1,4,7.3,4.9,7,6.4,7.9,10.4,11.2,13.5,6.4
307,"1130307","Fafe",0,0,0,0,0,0,0,0.3,1.1,1.4,1.5,1.1,0.7,0.6,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.8
308,"1130308","Guimarães",0,0,0,0,0,0,0,2.1,6.7,6.6,6.6,8.5,10.5,11.1,9.9,11.8,7,10.7,15.5,18.3,18.3,18.5,32.5,21.7,29.8,25.3,30.2,39.3,36.9,46.1,22
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,6.3,8.6,11.7,11.1,14.2,17.6,18.2,16.2,20,7.2,10,13.5,8.4,8.6,8.6,14.8,9.5,13.3,11.7,13.6,17.1,16.8,19.9,9.4
1314,"1131314","Santo Tirso",0,0,0,0,0,0,0,1.7,3.5,4.4,4.1,5.5,6.5,7.1,6.1,5.8,3.1,5.1,7.4,7.4,7.1,6.6,11.3,9,12.7,10.8,12.8,16.4,16.3,19.1,9.1
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0.9,1.4,2.1,4.5,4.6,4.5,8.1,5.3,7.4,6.5,7.8,10,10.3,12.2,5.8
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0,5,7.6,8.6,8.3,10,11.9,12.3,10.6,12.5,4,5.9,8.5,3.5,3.9,3.8,7.3,4.9,7.3,6.6,8.2,10.6,11.5,13.9,6.5
314,"1130314","Vizela",0,0,0,0,0,0,0,1.4,1.8,2.5,2.4,3,3.7,3.8,3.4,4.2,1.6,2.2,3,2,2.1,2,3.5,2.3,3.2,2.8,3.3,4.1,4.1,4.7,2.2
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0,0,0,0.5,1.2,0.2,0.3,0.1,0,0,0,0,2.7,4,5.6,10.9,10.7,10.7,16.8,11.9,16.5,13.8,16.8,21.6,21.4,25,11.9
1306,"1141306","Maia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1.2,1.4,1.2,2.2,1.5,2.1,2,2.4,3.2,3.4,4.1,1.9
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
