"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,0.5,0,0,0,0,0,1.4,0,0.1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,2.1,4.6,0,1.5,0.6,0,0.9,0,0,0,0,0,0,0.4,0.1,0.3,0,0,0,0.9,0,3.3
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",1.1,1.5,1.3,0.4,1,0.5,1,5.3,2.5,5.2,10.9,0,4.3,1.8,0,2.5,0.2,0.2,0.4,0,0,0,0.5,0.2,0.4,0,0,0,1,0,3.6
1607,"1111607","Ponte de Lima",0,2.7,0,0,0,0,0,20.9,4.7,16.1,43.1,0,13.4,2.8,0,7.2,0,0,0,0,0,0,4.2,0.8,2.9,0,0,0,8.6,0,31
1608,"1111608","Valença",0.9,1,1.1,0.5,1,0.8,0,0.4,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",16.5,17.7,18.9,10,16.5,13.2,12.5,38.5,20.8,30,57.9,0,24.2,10.4,0,13.4,1.2,1.2,2,0,0,0,1.5,0.2,1.1,0,0,0,3.3,0,12.6
1610,"1111610","Vila Nova de Cerveira",1,1.1,1.1,0.6,1,0.8,0,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.8,0.4,0.6,0.1,0,0,1.2,0,3.7
301,"1120301","Amares",7.6,8.5,8.5,4.6,7.4,6,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"1120302","Barcelos",19.9,21.3,23.1,12.4,20.1,16.8,12.7,41.9,21.9,27.9,56.6,0,23.2,9.4,0,12.8,1.4,1.5,2.4,0.9,0,0,4,1.9,3.2,0.7,0,0,6.9,0,22.3
303,"1120303","Braga",16.2,17.3,18.2,10.3,16.3,13.3,12.7,36.1,19.7,25.2,50.2,0,21.3,9.4,0,12,2.1,2.4,3.1,1.7,0.3,0.7,4.7,2.5,3.5,1.2,0,0,7.1,0,21.5
306,"1120306","Esposende",3.2,4.2,3.9,1.5,3.3,2.2,3,12.2,5.9,10.5,21.2,0,8.9,3.8,0,4.9,0.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,1.5,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3
307,"1130307","Fafe",0,0,0,0,0,0,0,0.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
308,"1130308","Guimarães",15.3,16.9,17.6,8.9,15.3,11.8,4.7,28.2,12.8,9,24.8,0,7.2,1,0,3.9,0,0,0,0,0,0,0.8,0,0.5,0,0,0,2.2,0,8.7
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,2.6,0,2.9,8.5,0,2.3,0.3,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
1314,"1131314","Santo Tirso",11.4,13.3,13.4,5.9,11.7,8.8,7,26.2,13.5,13.6,25.8,0,11.7,4.8,0,6.5,0.1,0.2,0.7,0,0,0,0.8,0,0.7,0,0,0,2.6,0,10.7
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.7
312,"1130312","Vila Nova de Famalicão",26.5,27,29.7,16.9,27,22.6,17.7,46.5,26.4,25.6,51.1,0,21.7,9.3,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",15.5,15.9,17.3,9.9,15.8,13.3,9.4,24.8,13.7,10.3,20.4,0,8.6,3.6,0,4.8,0.8,0.9,1.2,0.9,0.5,0.6,2,1.2,1.5,0.7,0,0.2,2.8,0,7.8
1306,"1141306","Maia",12.2,12.4,13.2,7.7,12,10.4,8.1,19.7,11.4,8.3,15.5,0,7.1,3.4,0,4,0.7,0.8,1,0.3,0.1,0.2,0.8,0.5,0.6,0.2,0,0,1.2,0,3.6
1308,"1141308","Matosinhos",3.6,3.8,4.1,2.3,3.6,3.1,2.8,7.8,4.3,5.6,10.3,0,4.7,2.1,0,2.7,0.4,0.4,0.7,0.2,0,0,0.8,0.4,0.5,0.1,0,0,1.2,0,3.7
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",1,1.7,1.3,0.4,1,0.3,0.7,5.6,2.5,4.9,9.9,0,4,1.8,0,2.3,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",7.4,9.5,8.9,3.6,7.5,5.2,0,14.3,4.7,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.3,0,0,0,0.9,0,3.4
1317,"1141317","Vila Nova de Gaia",29.6,30.2,33.2,18.9,29.3,25.3,19,34.2,27,18.3,20.6,0,15.6,7,0,8.8,1.2,1.4,1.8,0.1,0,0,1.2,0.4,0.8,0.1,0,0,2,0,6.6
1301,"1151301","Amarante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,5.6
1302,"1151302","Baião",4.8,5.7,5.5,2.5,4.9,3.4,1.7,13.3,5.6,12,25.2,0,9.5,3.7,0,5.4,0.2,0.1,0.5,0.1,0,0,1.7,0.6,1.5,0.2,0,0,3.2,0,11.4
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.6,0,3.2
305,"1150305","Celorico de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
1804,"1151804","Cinfães",10.1,10.7,11.2,6,10.3,8.3,2.7,13.2,6.2,0.1,2.6,0,0,0,0,0,0,0,0.2,1.6,0.5,0.9,3.6,2.2,2.9,1.2,0,0,5.4,0,16
1303,"1151303","Felgueiras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,"1151305","Lousada",7.5,9.2,8.9,3.9,7.6,5.6,0,11.3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2.6
