"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.8,1.7,1.8,1.7,0,0,0.5,2.2,5.7,7.9,8.9,6.4,8.1,7.3,7.1,7.9,0.8,1.9,2.6,0,0,0,0,0,0,0,0,0.8,2,3.2,2.9
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.9,2,2.5,3.4,3.2,3.1,2.9,4.2,5.2,5.5,6.8,6
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0.2,0.4,0.5,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",2.9,3.3,3.8,3.5,2.1,2.2,1.3,2.4,4.4,4.7,5.3,3.5,4.2,3.7,3.6,4,2.6,4,4.2,4,4.1,5.5,7.7,6.9,6.6,6.4,8.4,10.5,11.6,13.4,12.1
1607,"1111607","Ponte de Lima",7.3,8.7,9.8,9.1,5.1,5.5,1.2,2.9,5.9,2.4,2.9,1.6,1.5,1.3,1.2,1.3,0,0.4,1.1,0.4,0.5,0.3,1.3,1.6,1.9,2.1,3.6,5.3,6.9,8.7,7.9
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.6,0.9,0.9,0.9,0.9,1.3,1.6,1.9,2.2,2
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.7,1.2,1.4,1.5,1.7,2.8,3.9,4.9,6.1,5.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",0,0.3,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.2,3.5,3.2,3.3,3.3,5,6.1,7.4,8.7,7.9
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,2.1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.4,4.2,7.6,11.2,15.2,13.7
303,"1120303","Braga",8.6,9.9,11.3,10.4,6.3,6.7,3.6,6.3,10.6,9.2,10.4,7.7,10,9,8.9,10.1,11.4,15.5,14.7,18.2,18.6,25.5,33.3,29.3,27.3,26.2,32.3,38.1,40,43.6,38.8
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
